Team,INT,INT TD,INT Yds,Lng
"Bears
            
          

            Bears",22,2,245,45
"49ers
            
          

            49ers",22,1,309,66T
"Ravens
            
          

            Ravens",18,1,258,52T
"Bills
            
          

            Bills",18,2,148,40
"Browns
            
          

            Browns",18,2,135,34
"Saints
            
          

            Saints",18,1,185,74
"Giants
            
          

            Giants",18,3,404,102
"Bengals
            
          

            Bengals",17,1,152,30
"Cowboys
            
          

            Cowboys",17,5,249,63T
"Jets
            
          

            Jets",17,2,212,51
"Lions
            
          

            Lions",16,1,209,50T
"Jaguars
            
          

            Jaguars",16,2,264,61
"Steelers
            
          

            Steelers",16,1,184,32T
"Colts
            
          

            Colts",15,3,256,66
"Dolphins
            
          

            Dolphins",15,4,270,99
"Texans
            
          

            Texans",14,0,63,33
"Raiders
            
          

            Raiders",13,3,268,75
"Buccaneers
            
          

            Buccaneers",13,1,93,28T
"Broncos
            
          

            Broncos",11,0,85,33
"Vikings
            
          

            Vikings",11,0,112,43
"Cardinals
            
          

            Cardinals",11,0,98,46
"Seahawks
            
          

            Seahawks",11,3,177,97
"Rams
            
          

            Rams",10,0,100,42
"Patriots
            
          

            Patriots",10,0,96,32
"Eagles
            
          

            Eagles",9,2,207,99
"Chargers
            
          

            Chargers",9,0,31,9
"Falcons
            
          

            Falcons",8,1,124,92T
"Panthers
            
          

            Panthers",8,2,203,99
"Chiefs
            
          

            Chiefs",8,0,69,24
"Commanders
            
          

            Commanders",8,0,85,52
"Packers
            
          

            Packers",7,1,68,37T
"Titans
            
          

            Titans",6,1,86,44T
