Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
CeeDee Lamb,135,1749,12,29,3,92,80,59.3,3,680,181
Tyreek Hill,119,1799,13,29,9,78,83,69.8,1,652,171
Amon-Ra St. Brown,119,1515,10,24,3,70,75,63,1,668,164
Evan Engram,114,963,4,9,0,34,47,41.2,3,516,143
Michael Pittman,109,1152,4,10,3,75,53,48.6,1,513,156
Keenan Allen,108,1243,7,19,1,42,56,51.8,2,396,150
Stefon Diggs,107,1183,8,10,2,55,58,54.2,2,399,160
A.J. Brown,106,1456,7,21,3,59,70,66,2,473,158
Puka Nacua,105,1486,6,25,3,80,68,64.8,1,639,160
Davante Adams,103,1144,8,13,2,46,59,57.3,0,336,175
Adam Thielen,103,1014,4,9,0,32,56,54.4,2,334,137
Ja'Marr Chase,100,1216,7,14,4,76,63,63,1,541,145
DJ Moore,96,1364,8,25,2,58,64,66.7,1,539,136
T.J. Hockenson,95,960,5,13,0,29,48,50.5,1,336,127
Garrett Wilson,95,1042,3,11,2,68,47,49.5,2,327,168
Travis Kelce,93,984,5,12,2,53,50,53.8,1,470,120
Chris Olave,87,1123,5,16,3,51,57,65.5,0,347,138
Sam LaPorta,86,889,10,8,2,48,48,55.8,0,358,120
Chris Godwin,83,1024,2,14,2,47,53,63.9,0,376,130
Trey McBride,81,825,3,9,0,38,42,51.8,1,420,106
David Njoku,81,882,6,12,2,43,35,43.2,2,599,123
DeVonta Smith,81,1066,7,14,3,63,47,58,1,294,112
Nico Collins,80,1297,8,25,5,75,53,66.2,1,549,109
Mike Evans,79,1255,13,20,6,75,54,68.4,0,322,136
Tyler Lockett,79,894,5,9,0,37,47,59.5,0,210,122
