Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Christian McCaffrey,1459,272,14,9,3,72,83,30.5,2
Derrick Henry,1167,280,12,5,2,69,63,22.5,0
Kyren Williams,1144,228,12,7,1,56,62,27.2,2
James Cook,1122,237,2,6,1,42,53,22.4,3
D'Andre Swift,1049,229,5,6,1,43,50,21.8,2
James Conner,1040,208,7,11,1,44,57,27.4,0
Najee Harris,1035,255,8,8,0,25,50,19.6,2
Joe Mixon,1034,257,9,3,1,44,59,23,0
David Montgomery,1015,219,13,4,2,75,59,26.9,2
Raheem Mostert,1012,209,18,7,2,49,59,28.2,2
Travis Etienne,1008,267,11,6,1,62,53,19.8,0
Tony Pollard,1005,252,6,6,0,31,56,22.2,1
Breece Hall,994,223,5,7,4,83,40,17.9,2
Rachaad White,990,272,6,3,0,38,46,16.9,2
Bijan Robinson,976,214,4,7,0,38,50,23.4,4
Saquon Barkley,962,247,6,7,0,36,51,20.6,2
Jahmyr Gibbs,945,182,10,10,0,36,42,23.1,2
Isiah Pacheco,935,205,7,6,1,48,53,25.8,1
Kenneth Walker III,905,219,8,7,1,45,46,21,1
Chuba Hubbard,902,238,5,4,0,22,59,24.8,0
Devin Singletary,898,216,4,3,0,24,40,18.5,1
Lamar Jackson,821,148,5,4,0,30,48,32.4,4
Jerome Ford,813,204,4,5,2,69,33,16.2,1
Gus Edwards,810,198,13,6,1,42,49,24.8,2
Josh Jacobs,805,233,6,3,2,63,34,14.6,2
